Title,Rating,Price,Processor,RAM,Display Size,Storage Capacity
acer Nitro 5 Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,N/A,"₹79,990",AMD Ryzen 5 Hexa Core Processor,8 GB DDR5 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
DELL Inspiron Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Ins 5408 Thin and Light Laptop,4.3,"₹62,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,35.56 cm (14 inch) Display,512 GB SSD
ASUS ROG Zephyrus S15 Core i7 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce ...,N/A,"₹2,34,990",Intel Core i7 Processor (10th Gen),32 GB DDR4 RAM,39.62 cm (15.6 inch) Display,1 TB SSD
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,4.3,"₹32,990",Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,39.62 cm (15.6 inch) Display,512 GB SSD
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,4.6,"₹63,990",AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD
Lenovo IdeaPad 5 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 15ITL05 Thin and Light La...,N/A,"₹61,290",Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
ASUS Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ312WS Laptop,3.9,"₹42,590",Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD
acer Spin 3 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) SP314-55N 2 in 1 Laptop,N/A,"₹84,990",Intel Core i5 Processor (12th Gen),16 GB LPDDR4X RAM,35.56 cm (14 inch) Touchscreen Display,512 GB SSD
HP OMEN Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070) 16-B...,N/A,"₹1,75,490",Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,40.89 cm (16.1 inch) Display,1 TB SSD
HP Spectre Intel Evo Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) ef0053TU Notebook,4,"₹1,30,990",Intel Core i7 Processor (12th Gen),16 GB LPDDR4X RAM,34.29 cm (13.5 inch) Display,512 GB SSD
